,Word1,Word2,Word1_Syll,Word2_Syll,Word1_Freq,Word2_Freq
0,precipitous,steep,4,1,0.12,2.45
1,abrupt,steep,2,1,1.14,2.45
2,mystical,mysterious,3,4,2.82,15
3,dim,mysterious,1,4,4.76,15
4,secret,mysterious,2,4,109.51,15
5,enigmatic,mysterious,4,4,0.22,15
6,stout,fat,1,1,1.04,79.43
7,fleshy,fat,2,1,0.57,79.43
8,juicy,fat,2,1,4.29,79.43
9,stout,bulky,1,2,1.04,0.51
10,big,bulky,1,2,682.82,0.51
11,insulting,abusive,3,3,5.37,1.63
12,foul,abusive,1,3,14.47,1.63
13,scurrilous,abusive,3,3,0.18,1.63
14,heavy,deep,2,1,47.29,76.39
15,grave,deep,1,1,26.27,76.39
16,thick,deep,1,1,13.98,76.39
17,rich,deep,1,1,80.39,76.39
18,intense,deep,2,1,10.2,76.39
19,heavy,fleshy,2,2,47.29,0.57
20,heavy,weighty,2,2,47.29,0.24
21,serious,weighty,3,2,148.35,0.24
22,heavy,violent,2,3,47.29,16.67
23,strong,violent,1,3,86.86,16.67
24,furious,violent,3,3,6,16.67
25,severe,violent,2,3,9.41,16.67
26,heavy,sound,2,1,47.29,143.39
27,intact,sound,2,1,6.35,143.39
28,strong,sound,1,1,86.86,143.39
29,robust,sound,2,1,0.71,143.39
30,fresh,sound,1,1,54.51,143.39
31,fast,sound,1,1,137.45,143.39
32,logical,sound,3,1,7.39,143.39
33,wholesome,sound,2,1,1.59,143.39
34,heavy,leaden,2,2,47.29,0.1
35,heavy,hard,2,1,47.29,307.84
36,sad,hard,1,1,63.37,307.84
37,concentrated,hard,4,1,1.94,307.84
38,horny,hard,2,1,8.39,307.84
39,heavy,oppressive,2,3,47.29,0.92
40,preposterous,ridiculous,4,4,3.04,55.61
41,farcical,ridiculous,3,4,0.12,55.61
42,nonsensical,ridiculous,4,4,0.25,55.61
43,pretty,mean,2,1,392.22,1243.98
44,despicable,mean,4,1,2.1,1243.98
45,sorry,mean,2,1,1167.96,1243.98
46,poor,mean,1,1,129.08,1243.98
47,vulgar,mean,2,1,3.27,1243.98
48,small,mean,1,1,124.96,1243.98
49,hateful,mean,2,1,2,1243.98
50,dirty,mean,2,1,66.45,1243.98
51,pretty,fine,2,1,392.22,598.08
52,grand,fine,1,1,63.02,598.08
53,magnificent,fine,4,1,13.22,598.08
54,showy,fine,2,1,0.29,598.08
55,superb,fine,2,1,2.88,598.08
56,pretty,neat,2,1,392.22,12.45
57,straight,neat,1,1,122.43,12.45
58,great,neat,1,1,820.86,12.45
59,tidy,neat,2,1,3.71,12.45
60,primitive,ancient,3,2,5.16,21.67
61,obsolete,ancient,3,2,1.92,21.67
62,primitive,original,3,4,5.16,28.24
63,old,original,1,4,608.94,28.24
64,new,original,1,4,723.78,28.24
65,primary,original,3,4,8.71,28.24
66,prime,original,1,4,18.29,28.24
67,pristine,original,2,4,0.76,28.24
68,archetypal,original,3,4,0.14,28.24
69,colloquial,informal,4,3,0.06,1.69
70,strong,influential,1,4,86.86,1.59
71,important,influential,3,4,207.59,1.59
72,potent,influential,2,4,1.49,1.59
73,strong,impregnable,1,4,86.86,0.57
74,strong,ardent,1,2,86.86,0.59
75,enthusiastic,ardent,5,2,2.78,0.59
76,passionate,ardent,3,2,6,0.59
77,zealous,ardent,2,2,0.29,0.59
78,strong,sticky,1,2,86.86,5.73
79,strong,stiff,1,1,86.86,10.25
80,tough,stiff,1,1,90.51,10.25
81,firm,stiff,1,1,35.27,10.25
82,strong,energetic,1,4,86.86,1.29
83,vigorous,energetic,3,4,0.69,1.29
84,industrious,energetic,4,4,0.33,1.29
85,strong,firm,1,1,86.86,35.27
86,loyal,firm,2,1,12,35.27
87,hard,firm,1,1,307.84,35.27
88,steadfast,firm,2,1,0.43,35.27
89,sturdy,firm,2,1,1.69,35.27
90,famous,celebrated,2,4,45.02,2.71
91,renowned,celebrated,2,4,1.31,2.71
92,distinguished,celebrated,3,4,6.18,2.71
93,eminent,celebrated,3,4,1.65,2.71
94,famous,excellent,2,3,45.02,52.71
95,great,excellent,1,3,820.86,52.71
96,good,excellent,1,3,2610.14,52.71
97,worthy,excellent,2,3,10.33,52.71
98,superb,excellent,2,3,2.88,52.71
99,famous,notable,2,3,45.02,0.61
100,renowned,notable,2,3,1.31,0.61
101,conspicuous,notable,4,3,1.47,0.61
102,famed,notable,1,3,0.82,0.61
103,prominent,notable,3,3,2.55,0.61
104,famous,brilliant,2,2,45.02,35.8
105,splendid,brilliant,2,2,11.67,35.8
106,vivid,brilliant,2,2,2.04,35.8
107,smart,brilliant,1,2,96.25,35.8
108,magnificent,brilliant,4,2,13.22,35.8
109,famous,heroic,2,3,45.02,4.59
110,grand,heroic,1,3,63.02,4.59
111,fearless,heroic,2,3,2.98,4.59
112,gallant,heroic,2,3,3.27,4.59
113,streamlined,aerodynamic,2,5,0.37,0.43
114,wild,irregular,1,4,57.31,2.53
115,informal,irregular,3,4,1.69,2.53
116,interrupted,irregular,4,4,5.24,2.53
117,wild,ferocious,1,3,57.31,1.55
118,wild,barbarian,1,4,57.31,1.8
119,wild,savage,1,2,57.31,7.16
120,cruel,savage,2,2,18.35,7.16
121,inhuman,savage,3,2,1.78,7.16
122,wild,unfounded,1,3,57.31,0.61
123,gratuitous,unfounded,4,3,0.35,0.61
124,unwarranted,unfounded,4,3,0.37,0.61
125,integrated,structured,4,2,1.08,0.67
126,integrated,mixed,4,1,1.08,21.37
127,familiar,fresh,3,1,34.51,54.51
128,novel,fresh,2,1,10.06,54.51
129,quick,fresh,1,1,108.67,54.51
130,clean,fresh,1,1,121.24,54.51
131,familiar,accessible,3,4,34.51,1.1
132,familiar,common,3,2,34.51,44.61
133,bent,common,1,2,7.22,44.61
134,trivial,common,3,2,1.82,44.61
135,promiscuous,common,3,2,1.02,44.61
136,vernacular,common,4,2,0.49,44.61
137,female,feminine,2,3,31.61,4.57
138,steep,high,1,1,2.45,195
139,angry,high,2,1,58.98,195
140,important,high,3,1,207.59,195
141,haughty,high,2,1,0.41,195
142,arrogant,high,3,1,5.22,195
143,towering,high,3,1,0.63,195
144,steep,precipitous,1,4,2.45,0.12
145,naturalistic,realistic,5,4,0.06,4.61
146,pragmatic,realistic,3,4,0.59,4.61
147,splendid,great,2,1,11.67,820.86
148,infinite,great,3,1,3.49,820.86
149,immense,great,2,1,1.61,820.86
150,gross,great,1,1,15.27,820.86
151,excellent,great,3,1,52.71,820.86
152,thick,great,1,1,13.98,820.86
153,outstanding,great,3,1,7.45,820.86
154,splendid,famous,2,2,11.67,45.02
155,renowned,famous,2,2,1.31,45.02
156,famed,famous,1,2,0.82,45.02
157,eminent,famous,3,2,1.65,45.02
158,noted,famous,2,2,4.8,45.02
159,spirited,fiery,3,3,1.22,2.02
160,spirited,lively,3,2,1.22,4.06
161,joyous,lively,2,2,1.35,4.06
162,bright,lively,1,2,44.41,4.06
163,alive,lively,2,2,154.47,4.06
164,quick,lively,1,2,108.67,4.06
165,alert,lively,2,2,20.61,4.06
166,cheerful,lively,2,2,3.73,4.06
167,cheery,lively,2,2,1.06,4.06
168,sparkling,lively,2,2,2,4.06
169,spirited,active,3,2,1.22,11.45
170,alive,active,2,2,154.47,11.45
171,quick,active,1,2,108.67,11.45
172,actual,active,3,2,17.33,11.45
173,alert,active,2,2,20.61,11.45
174,kinetic,active,3,2,0.63,11.45
175,energetic,active,4,2,1.29,11.45
176,literal,actual,3,3,1.35,17.33
177,substantial,actual,3,3,3.57,17.33
178,factual,actual,3,3,0.53,17.33
179,positive,actual,3,3,31.63,17.33
180,bare,unadorned,1,3,8.33,0.12
181,bare,stripped,1,1,8.33,3.59
182,bare,simple,1,2,8.33,89.31
183,low,simple,1,2,59.14,89.31
184,naked,simple,2,2,39.25,89.31
185,unmixed,simple,2,2,0.02,89.31
186,bare,plain,1,1,8.33,21.82
187,intelligible,plain,5,1,0.06,21.82
188,blunt,plain,1,1,4.9,21.82
189,usual,plain,3,1,37.24,21.82
190,broad,plain,1,1,14.73,21.82
191,clear,plain,1,1,171.82,21.82
192,popular,plain,3,1,23.08,21.82
193,explicit,plain,3,1,1.39,21.82
194,bare,barren,1,2,8.33,1.47
195,sterile,barren,2,2,2.18,1.47
196,free,barren,1,2,177.53,1.47
197,desolate,barren,3,2,0.98,1.47
198,bare,naked,1,2,8.33,39.25
199,low,coarse,1,1,59.14,1.35
200,broad,coarse,1,1,14.73,1.35
201,vulgar,coarse,2,1,3.27,1.35
202,brutal,coarse,2,1,7.35,1.35
203,low,feeble,1,2,59.14,1.69
204,low,small,1,1,59.14,124.96
205,petite,small,2,1,1.06,124.96
206,unimportant,small,4,1,2.45,124.96
207,low,light,1,1,59.14,165.2
208,frivolous,light,3,1,1.2,165.2
209,clean,light,1,1,121.24,165.2
210,collective,corporate,3,3,2.39,10.22
211,sad,pitiful,1,3,63.37,3.84
212,sad,touching,1,2,63.37,17.41
213,sad,sorrowful,1,3,63.37,0.39
214,noble,sublime,2,2,14.59,1.45
