Word,Freq_Per_Mil1,Log_Freq_Per_Mil1,Word_Length,Word_Syll
0,aardvark,0.41,1.3424,8.0,2.0
1,aback,0.29,1.2041,5.0,2.0
2,abacus,0.24,1.1139,6.0,3.0
3,abalone,0.51,1.4314,7.0,4.0
4,abandon,8.1,2.617,7.0,3.0
5,abandoned,13.29,2.8319,9.0,3.0
6,abandoning,1.69,1.9395,10.0,4.0
7,abandonment,0.96,1.699,11.0,4.0
8,abandons,0.27,1.1761,8.0,3.0
9,abate,0.1,0.7782,5.0,2.0
10,abated,0.08,0.699,6.0,3.0
11,abatement,0.06,0.6021,9.0,3.0
12,abates,0.04,0.4771,6.0,2.0
13,abating,0.02,0.301,7.0,3.0
14,abbreviate,0.02,0.301,10.0,4.0
15,abbreviated,0.31,1.2304,11.0,5.0
16,abbreviation,0.24,1.1139,12.0,5.0
17,abbreviations,0.2,1.0414,13.0,5.0
18,abdicate,0.18,1.0,8.0,3.0
19,abdicated,0.14,0.9031,9.0,4.0
20,abdicates,0.02,0.301,9.0,3.0
21,abdication,0.12,0.8451,10.0,4.0
22,abdomen,3.35,2.2355,7.0,3.0
23,abdominal,3.41,2.243,9.0,4.0
24,abduct,0.71,1.5682,6.0,2.0
25,abducted,5.0,2.4082,8.0,3.0
26,abductee,0.39,1.3222,8.0,3.0
27,abductees,0.35,1.2788,9.0,3.0
28,abducting,0.31,1.2304,9.0,3.0
29,abduction,3.63,2.2695,9.0,3.0
30,abductions,0.82,1.6335,10.0,3.0
31,abductor,0.35,1.2788,8.0,3.0
32,abductors,0.22,1.0792,9.0,3.0
33,abducts,0.16,0.9542,7.0,2.0
34,abed,0.2,1.0414,4.0,2.0
35,abele,0.02,0.301,5.0,2.0
36,aberrant,0.29,1.2041,8.0,3.0
37,aberration,0.55,1.4624,10.0,4.0
38,aberrations,0.16,0.9542,11.0,4.0
39,abet,0.1,0.7782,4.0,2.0
40,abetted,0.16,0.9542,7.0,3.0
41,abetting,0.51,1.4314,8.0,3.0
42,abeyance,0.04,0.4771,8.0,3.0
43,abhor,0.24,1.1139,5.0,2.0
44,abhorred,0.14,0.9031,8.0,2.0
45,abhorrent,0.18,1.0,9.0,3.0
46,abhors,0.08,0.699,6.0,2.0
47,abide,2.71,2.143,5.0,2.0
48,abided,0.06,0.6021,6.0,3.0
49,abides,0.08,0.699,6.0,2.0
50,abiding,0.49,1.415,7.0,3.0
51,abilities,6.12,2.4955,9.0,4.0
52,ability,19.22,2.9917,7.0,4.0
53,abject,0.39,1.3222,6.0,2.0
54,ablaze,0.41,1.3424,6.0,2.0
55,able,159.9,3.9115,4.0,2.0
56,abler,0.02,0.301,5.0,3.0
57,ablest,0.04,0.4771,6.0,2.0
58,abloom,0.06,0.6021,6.0,2.0
59,ably,0.18,1.0,4.0,2.0
60,abnormal,2.9,2.1732,8.0,3.0
61,abnormalities,0.49,1.415,13.0,5.0
62,abnormality,0.51,1.4314,11.0,5.0
63,abnormally,0.39,1.3222,10.0,4.0
64,abo,0.12,0.8451,3.0,2.0
65,aboard,26.63,3.1332,6.0,2.0
66,abode,0.65,1.5315,5.0,2.0
67,abolish,0.47,1.3979,7.0,3.0
68,abolished,0.39,1.3222,9.0,3.0
69,abolishes,0.02,0.301,9.0,4.0
70,abolishing,0.04,0.4771,10.0,4.0
71,abolition,0.2,1.0414,9.0,4.0
72,abolitionism,0.02,0.301,12.0,6.0
73,abolitionist,0.22,1.0792,12.0,5.0
74,abolitionists,0.25,1.1461,13.0,5.0
75,abominable,0.63,1.5185,10.0,5.0
76,abomination,1.14,1.7709,11.0,5.0
77,aboriginal,0.18,1.0,10.0,5.0
78,aborigine,0.08,0.699,9.0,5.0
79,aborigines,0.18,1.0,10.0,5.0
80,aborted,0.63,1.5185,7.0,3.0
81,aborting,0.25,1.1461,8.0,3.0
82,abortion,7.24,2.5682,8.0,3.0
83,abortionist,0.08,0.699,11.0,4.0
84,abortionists,0.02,0.301,12.0,4.0
85,abortions,0.69,1.5563,9.0,3.0
86,abortive,0.02,0.301,8.0,3.0
87,aborts,0.02,0.301,6.0,2.0
88,abound,0.35,1.2788,6.0,2.0
89,abounded,0.06,0.6021,8.0,3.0
90,abounding,0.08,0.699,9.0,3.0
91,abounds,0.2,1.0414,7.0,2.0
92,about,3631.49,5.2677,5.0,2.0
93,above,48.88,3.3969,5.0,2.0
94,aboveboard,0.27,1.1761,10.0,3.0
95,abrasion,0.35,1.2788,8.0,3.0
96,abrasions,1.1,1.7559,9.0,3.0
97,abrasive,0.45,1.3802,8.0,3.0
98,abrasives,0.08,0.699,9.0,3.0
99,abreast,0.51,1.4314,7.0,2.0
100,abridge,0.02,0.301,7.0,2.0
101,abridged,0.18,1.0,8.0,2.0
102,abridgement,0.02,0.301,11.0,3.0
103,abridging,0.04,0.4771,9.0,3.0
104,abroad,4.9,2.3997,6.0,2.0
105,abrogate,0.02,0.301,8.0,3.0
106,abrogated,0.04,0.4771,9.0,4.0
107,abrogating,0.02,0.301,10.0,4.0
108,abrupt,1.14,1.7709,6.0,2.0
109,abruptly,0.88,1.6628,8.0,3.0
110,abruptness,0.08,0.699,10.0,3.0
111,abs,1.06,1.7404,3.0,3.0
112,abscess,0.49,1.415,7.0,2.0
113,abscond,0.1,0.7782,7.0,2.0
114,absconded,0.1,0.7782,9.0,3.0
115,absconding,0.06,0.6021,10.0,3.0
116,absence,6.31,2.5092,7.0,2.0
117,absences,0.27,1.1761,8.0,3.0
118,absent,2.57,2.1206,6.0,2.0
119,absentee,0.35,1.2788,8.0,3.0
120,absenteeism,0.1,0.7782,11.0,5.0
121,absentees,0.08,0.699,9.0,3.0
122,absentia,0.18,1.0,8.0,3.0
123,absinthe,0.55,1.4624,8.0,2.0
124,absolute,11.31,2.7619,8.0,3.0
125,absolutely,113.12,3.7612,10.0,4.0
126,absolutes,0.41,1.3424,9.0,3.0
127,absolution,0.94,1.6902,10.0,4.0
128,absolve,0.57,1.4771,7.0,2.0
129,absolved,0.29,1.2041,8.0,2.0
130,absolves,0.08,0.699,8.0,2.0
131,absolving,0.1,0.7782,9.0,3.0
132,absorb,1.98,2.0086,6.0,2.0
133,absorbed,1.53,1.8976,8.0,2.0
134,absorbent,0.16,0.9542,9.0,3.0
135,absorber,0.06,0.6021,8.0,3.0
136,absorbers,0.16,0.9542,9.0,3.0
137,absorbing,0.45,1.3802,9.0,3.0
138,absorbs,0.49,1.415,7.0,2.0
139,absorption,0.35,1.2788,10.0,3.0
140,abstain,0.51,1.4314,7.0,2.0
141,abstained,0.08,0.699,9.0,2.0
142,abstaining,0.16,0.9542,10.0,3.0
143,abstention,0.12,0.8451,10.0,3.0
144,abstentions,0.02,0.301,11.0,3.0
145,abstinence,0.88,1.6628,10.0,3.0
146,abstinent,0.06,0.6021,9.0,3.0
147,abstract,2.18,2.0492,8.0,2.0
148,abstracted,0.06,0.6021,10.0,3.0
149,abstraction,0.29,1.2041,11.0,3.0
150,abstractions,0.1,0.7782,12.0,3.0
151,abstracts,0.14,0.9031,9.0,2.0
152,abstruse,0.06,0.6021,8.0,2.0
153,absurd,9.71,2.6955,6.0,2.0
154,absurdist,0.02,0.301,9.0,3.0
155,absurdities,0.12,0.8451,11.0,4.0
156,absurdity,0.63,1.5185,9.0,4.0
157,absurdly,0.29,1.2041,8.0,3.0
158,abt,0.22,1.0792,3.0,1.0
159,abundance,0.88,1.6628,9.0,3.0
160,abundant,0.57,1.4771,8.0,3.0
161,abundantly,0.41,1.3424,10.0,4.0
162,abuse,10.25,2.7193,5.0,2.0
163,abused,4.53,2.3655,6.0,2.0
164,abuser,0.31,1.2304,6.0,3.0
165,abusers,0.22,1.0792,7.0,3.0
166,abuses,0.49,1.415,6.0,3.0
167,abusing,1.2,1.7924,7.0,3.0
168,abusive,1.63,1.9243,7.0,3.0
169,abut,0.12,0.8451,4.0,2.0
170,abuts,0.04,0.4771,5.0,2.0
171,abutting,0.02,0.301,8.0,3.0
172,abuzz,0.04,0.4771,5.0,2.0
173,abysmal,0.41,1.3424,7.0,3.0
174,abysmally,0.02,0.301,9.0,4.0
175,abyss,1.76,1.959,5.0,2.0
176,acacia,0.16,0.9542,6.0,3.0
177,academe,0.04,0.4771,7.0,3.0
178,academia,0.24,1.1139,8.0,5.0
179,academic,4.67,2.3784,8.0,4.0
180,academically,0.22,1.0792,12.0,5.0
181,academician,0.02,0.301,11.0,5.0
182,academics,0.69,1.5563,9.0,4.0
183,academies,0.14,0.9031,9.0,4.0
184,accede,0.14,0.9031,6.0,2.0
185,acceded,0.02,0.301,7.0,3.0
186,accelerant,0.55,1.4624,10.0,4.0
187,accelerate,1.27,1.8195,10.0,4.0
188,accelerated,0.96,1.699,11.0,5.0
189,accelerates,0.1,0.7782,11.0,4.0
190,accelerating,0.88,1.6628,12.0,5.0
191,acceleration,0.86,1.6532,12.0,5.0
192,accelerator,1.35,1.8451,11.0,5.0
193,accelerators,0.08,0.699,12.0,5.0
194,accent,12.18,2.7938,6.0,2.0
195,accented,0.02,0.301,8.0,3.0
196,accents,1.14,1.7709,7.0,2.0
197,accentuate,0.35,1.2788,10.0,4.0
198,accentuated,0.04,0.4771,11.0,5.0
199,accentuates,0.08,0.699,11.0,4.0
200,accentuating,0.02,0.301,12.0,5.0
201,accept,52.78,3.4302,6.0,2.0
202,acceptable,5.27,2.4314,10.0,4.0
203,acceptance,3.16,2.2095,10.0,3.0
204,acceptances,0.04,0.4771,11.0,4.0
205,accepted,15.71,2.9042,8.0,3.0
206,accepting,4.04,2.316,9.0,3.0
207,accepts,2.08,2.0294,7.0,2.0
208,access,31.67,3.2084,6.0,2.0
209,accessed,1.53,1.8976,8.0,2.0
210,accessibility,0.04,0.4771,13.0,6.0
