Word,Freq_Per_Mil,Log_Freq,Word_Length
0,the,29449.18,6.1766,3.0
1,to,22677.84,6.0632,2.0
2,a,20415.27,6.0175,1.0
3,you,41857.12,6.3293,3.0
4,and,13387.84,5.8343,3.0
5,it,18896.31,5.9839,2.0
6,s,20731.39,6.0242,1.0
7,of,11577.24,5.7712,2.0
8,for,6895.1,5.5461,3.0
9,I,39971.16,6.3093,1.0
10,in,9773.41,5.6976,2.0
11,on,6955.73,5.5499,2.0
12,is,9013.0,5.6624,2.0
13,that,14111.31,5.8571,4.0
14,What,9842.45,5.7007,4.0
15,be,5746.76,5.467,2.0
16,have,6161.41,5.4973,4.0
17,are,5209.25,5.4243,3.0
18,this,7978.73,5.6095,4.0
19,No,5971.55,5.4837,2.0
20,we,9011.9,5.6624,2.0
21,me,9241.94,5.6733,2.0
22,t,14379.18,5.8653,1.0
23,there,4348.12,5.3459,5.0
24,can,5247.45,5.4275,3.0
25,here,4525.25,5.3632,4.0
26,with,5048.33,5.4107,4.0
27,but,4417.47,5.3527,3.0
28,he,7637.2,5.5905,2.0
29,now,3202.61,5.2131,3.0
30,so,4244.16,5.3354,2.0
31,my,6762.73,5.5377,2.0
32,not,5424.96,5.442,3.0
33,do,6135.59,5.4954,2.0
34,your,6445.39,5.5168,4.0
35,at,3217.1,5.215,2.0
36,one,3072.24,5.195,3.0
37,up,3670.0,5.2722,2.0
38,was,5654.73,5.46,3.0
39,go,3793.04,5.2866,2.0
40,out,3865.31,5.2948,3.0
41,How,3056.22,5.1928,3.0
42,like,3998.96,5.3095,4.0
43,if,3541.37,5.2567,2.0
44,know,5721.18,5.4651,4.0
45,just,4749.14,5.3842,4.0
46,get,4583.76,5.3688,3.0
47,Come,3140.98,5.2046,4.0
48,they,4102.94,5.3207,4.0
49,don,6295.78,5.5066,3.0
50,see,2556.73,5.1153,3.0
51,about,3631.49,5.2677,5.0
52,right,4008.39,5.3105,5.0
53,who,2222.94,5.0545,3.0
54,good,2610.14,5.1242,4.0
55,when,2034.1,5.0159,4.0
56,time,1958.63,4.9995,4.0
57,Let,2419.24,5.0913,3.0
58,did,2341.37,5.077,3.0
59,from,2039.06,5.017,4.0
60,want,2759.18,5.1484,4.0
61,think,2691.39,5.1376,5.0
62,take,1891.04,4.9843,4.0
63,Why,2248.76,5.0595,3.0
64,m,6730.29,5.5356,1.0
65,look,1947.27,4.997,4.0
66,an,1864.14,4.9781,2.0
67,all,5161.86,5.4204,3.0
68,back,2009.16,5.0106,4.0
69,some,1727.24,4.9449,4.0
70,re,6099.45,5.4929,2.0
71,would,1767.88,4.955,5.0
72,been,1736.73,4.9473,4.0
73,Where,1830.22,4.9701,5.0
74,then,1489.53,4.8806,4.0
75,him,3484.51,5.2497,3.0
76,got,3306.49,5.2269,3.0
77,as,2217.02,5.0533,2.0
78,or,1705.29,4.9394,2.0
79,going,2123.29,5.0346,5.0
80,were,1662.82,4.9284,4.0
81,could,1629.59,4.9197,5.0
82,say,1639.78,4.9224,3.0
83,something,1500.16,4.8837,9.0
84,had,1675.92,4.9318,3.0
85,way,1424.73,4.8613,3.0
86,make,1387.75,4.8499,4.0
87,by,1340.47,4.8348,2.0
88,too,1371.57,4.8448,3.0
89,us,1695.65,4.9369,2.0
90,his,2124.78,5.0349,3.0
91,ll,4394.06,5.3504,2.0
92,more,1298.59,4.821,4.0
93,over,1323.29,4.8292,4.0
94,didn,1580.84,4.9065,4.0
95,them,1778.82,4.9577,4.0
96,down,1490.27,4.8808,4.0
97,never,1362.55,4.8419,5.0
98,Well,2990.65,5.1833,4.0
99,Yes,1996.76,5.0079,3.0
100,d,1986.96,5.0058,1.0
101,should,1061.94,4.7337,6.0
102,will,2123.65,5.0347,4.0
103,she,3732.88,5.2796,3.0
104,tell,1724.49,4.9442,4.0
105,only,1083.71,4.7425,4.0
106,our,1400.49,4.8539,3.0
107,give,1167.82,4.775,4.0
108,her,2835.82,5.1603,3.0
109,need,1294.9,4.8198,4.0
110,has,1133.92,4.7622,3.0
111,little,1446.39,4.8679,6.0
112,off,1179.51,4.7793,3.0
113,thing,1088.67,4.7445,5.0
114,man,1845.75,4.9737,3.0
115,any,1099.37,4.7487,3.0
116,mean,1243.98,4.8024,4.0
117,much,973.25,4.6958,4.0
118,said,1108.45,4.7523,4.0
119,Oh,3289.82,5.2247,2.0
120,sure,1099.82,4.7489,4.0
121,am,1106.63,4.7516,2.0
122,two,1066.35,4.7355,3.0
123,really,1500.16,4.8837,6.0
124,doing,1029.25,4.7201,5.0
125,even,875.92,4.65,4.0
126,anything,907.25,4.6653,8.0
127,sorry,1167.96,4.775,5.0
128,before,794.14,4.6075,6.0
129,because,1071.02,4.7374,7.0
130,people,1102.98,4.7501,6.0
131,into,844.59,4.6342,4.0
132,very,1241.25,4.8014,4.0
133,first,840.57,4.6322,5.0
134,again,792.71,4.6067,5.0
135,nothing,853.61,4.6388,7.0
136,these,904.0,4.6637,5.0
137,put,828.45,4.6258,3.0
138,please,1100.96,4.7493,6.0
139,thought,808.47,4.6152,7.0
140,better,794.0,4.6074,6.0
141,still,788.73,4.6045,5.0
142,Thank,1115.24,4.7549,5.0
143,Yeah,2985.53,5.1826,4.0
144,than,738.8,4.5761,4.0
145,help,921.12,4.6719,4.0
146,other,735.39,4.5741,5.0
147,Maybe,926.45,4.6744,5.0
148,last,723.1,4.5668,4.0
149,day,801.82,4.6117,3.0
150,those,753.02,4.5844,5.0
151,wait,830.25,4.6268,4.0
152,find,830.96,4.6272,4.0
153,work,798.02,4.6096,4.0
154,does,666.71,4.5315,4.0
155,after,682.59,4.5417,5.0
156,talk,855.0,4.6395,4.0
157,life,796.65,4.6088,4.0
158,long,675.16,4.537,4.0
159,away,730.9,4.5714,4.0
160,keep,702.86,4.5545,4.0
161,around,736.73,4.5749,6.0
162,call,861.39,4.6428,4.0
163,doesn,635.98,4.511,5.0
164,won,759.39,4.588,3.0
165,Hey,1727.04,4.9449,3.0
166,told,699.59,4.5524,4.0
167,ever,709.22,4.5584,4.0
168,always,655.25,4.524,6.0
169,things,692.88,4.5482,6.0
170,great,820.86,4.6219,5.0
171,home,774.33,4.5965,4.0
172,made,561.29,4.4568,4.0
173,stop,707.27,4.5572,4.0
174,believe,625.14,4.5036,7.0
175,night,866.04,4.6451,5.0
176,love,1114.98,4.7548,4.0
177,everything,654.88,4.5237,10.0
178,another,509.22,4.4145,7.0
179,kind,590.69,4.4789,4.0
180,isn,586.0,4.4755,3.0
181,place,602.67,4.4877,5.0
182,feel,627.24,4.505,4.0
183,hear,555.35,4.4522,4.0
184,wrong,523.1,4.4262,5.0
185,new,723.78,4.5672,3.0
186,big,682.82,4.5419,3.0
187,bad,545.18,4.4441,3.0
188,every,549.16,4.4473,5.0
189,through,549.53,4.4476,7.0
190,their,655.16,4.5239,5.0
191,leave,560.71,4.4563,5.0
192,lot,569.92,4.4634,3.0
193,coming,527.02,4.4294,6.0
194,enough,501.33,4.4077,6.0
195,must,699.24,4.5522,4.0
196,Thanks,623.31,4.5023,6.0
197,fine,598.08,4.4843,4.0
198,might,516.35,4.4205,5.0
199,getting,484.69,4.393,7.0
200,remember,542.47,4.442,8.0
201,nice,649.51,4.5202,4.0
202,being,485.9,4.3941,5.0
203,try,476.75,4.3859,3.0
204,wanted,502.27,4.4085,6.0
205,name,641.86,4.515,4.0
206,done,485.04,4.3934,4.0
207,else,449.16,4.36,4.0
208,gonna,1996.16,5.0078,5.0
209,ask,483.14,4.3917,3.0
210,left,484.45,4.3928,4.0
211,next,452.75,4.3634,4.0
212,wouldn,463.29,4.3734,6.0
213,Listen,544.78,4.4438,6.0
214,years,568.69,4.4625,5.0
215,happened,490.08,4.3979,8.0
216,talking,497.75,4.4046,7.0
217,care,485.25,4.3936,4.0
218,God,903.16,4.6633,3.0
219,own,459.2,4.3696,3.0
220,three,542.24,4.4418,5.0
221,old,608.94,4.4922,3.0
222,came,463.73,4.3738,4.0
223,mind,484.61,4.393,4.0
224,looking,432.67,4.3437,7.0
225,trying,448.02,4.3589,6.0
226,stay,515.65,4.4199,4.0
227,understand,482.45,4.391,10.0
228,yourself,434.33,4.3454,8.0
229,someone,446.12,4.357,7.0
230,wasn,431.06,4.3421,4.0
231,same,417.18,4.3279,4.0
232,guess,453.98,4.3646,5.0
233,went,411.51,4.322,4.0
234,best,404.37,4.3144,4.0
235,may,511.37,4.4163,3.0
236,course,487.22,4.3953,6.0
237,which,477.24,4.3863,5.0
238,show,488.35,4.3963,4.0
239,guy,762.61,4.5899,3.0
240,today,433.8,4.3449,5.0
241,while,349.43,4.251,5.0
242,seen,384.96,4.293,4.0
243,heard,387.75,4.2961,5.0
244,without,354.65,4.2574,7.0
245,hold,436.73,4.3478,4.0
246,real,442.8,4.3538,4.0
247,use,343.84,4.244,3.0
248,together,383.39,4.2912,8.0
249,whole,385.49,4.2936,5.0
250,haven,369.49,4.2752,5.0
251,saw,402.49,4.3123,3.0
252,Hello,585.43,4.4751,5.0
253,once,344.88,4.2453,4.0
