Word,Freq_Per_Mil,Log_Freq,Word_Syll
0,aardvark,0.41,1.3424,2
1,aback,0.29,1.2041,2
2,abacus,0.24,1.1139,3
3,abalone,0.51,1.4314,4
4,abandon,8.1,2.617,3
5,abandoned,13.29,2.8319,3
6,abandoning,1.69,1.9395,4
7,abandonment,0.96,1.699,4
8,abandons,0.27,1.1761,3
9,abate,0.1,0.7782,2
10,abated,0.08,0.699,3
11,abatement,0.06,0.6021,3
12,abates,0.04,0.4771,2
13,abating,0.02,0.301,3
14,abbreviate,0.02,0.301,4
15,abbreviated,0.31,1.2304,5
16,abbreviation,0.24,1.1139,5
17,abbreviations,0.2,1.0414,5
18,abdicate,0.18,1.0,3
19,abdicated,0.14,0.9031,4
20,abdicates,0.02,0.301,3
21,abdication,0.12,0.8451,4
22,abdomen,3.35,2.2355,3
23,abdominal,3.41,2.243,4
24,abduct,0.71,1.5682,2
25,abducted,5.0,2.4082,3
26,abductee,0.39,1.3222,3
27,abductees,0.35,1.2788,3
28,abducting,0.31,1.2304,3
29,abduction,3.63,2.2695,3
30,abductions,0.82,1.6335,3
31,abductor,0.35,1.2788,3
32,abductors,0.22,1.0792,3
33,abducts,0.16,0.9542,2
34,abed,0.2,1.0414,2
35,abele,0.02,0.301,2
36,aberrant,0.29,1.2041,3
37,aberration,0.55,1.4624,4
38,aberrations,0.16,0.9542,4
39,abet,0.1,0.7782,2
40,abetted,0.16,0.9542,3
41,abetting,0.51,1.4314,3
42,abeyance,0.04,0.4771,3
43,abhor,0.24,1.1139,2
44,abhorred,0.14,0.9031,2
45,abhorrent,0.18,1.0,3
46,abhors,0.08,0.699,2
47,abide,2.71,2.143,2
48,abided,0.06,0.6021,3
49,abides,0.08,0.699,2
50,abiding,0.49,1.415,3
51,abilities,6.12,2.4955,4
52,ability,19.22,2.9917,4
53,abject,0.39,1.3222,2
54,ablaze,0.41,1.3424,2
55,able,159.9,3.9115,2
56,abler,0.02,0.301,3
57,ablest,0.04,0.4771,2
58,abloom,0.06,0.6021,2
59,ably,0.18,1.0,2
60,abnormal,2.9,2.1732,3
61,abnormalities,0.49,1.415,5
62,abnormality,0.51,1.4314,5
63,abnormally,0.39,1.3222,4
64,abo,0.12,0.8451,2
65,aboard,26.63,3.1332,2
66,abode,0.65,1.5315,2
67,abolish,0.47,1.3979,3
68,abolished,0.39,1.3222,3
69,abolishes,0.02,0.301,4
70,abolishing,0.04,0.4771,4
71,abolition,0.2,1.0414,4
72,abolitionism,0.02,0.301,6
73,abolitionist,0.22,1.0792,5
74,abolitionists,0.25,1.1461,5
75,abominable,0.63,1.5185,5
76,abomination,1.14,1.7709,5
77,aboriginal,0.18,1.0,5
78,aborigine,0.08,0.699,5
79,aborigines,0.18,1.0,5
80,aborted,0.63,1.5185,3
81,aborting,0.25,1.1461,3
82,abortion,7.24,2.5682,3
83,abortionist,0.08,0.699,4
84,abortionists,0.02,0.301,4
85,abortions,0.69,1.5563,3
86,abortive,0.02,0.301,3
87,aborts,0.02,0.301,2
88,abound,0.35,1.2788,2
89,abounded,0.06,0.6021,3
90,abounding,0.08,0.699,3
91,abounds,0.2,1.0414,2
92,about,3631.49,5.2677,2
93,above,48.88,3.3969,2
94,aboveboard,0.27,1.1761,3
95,abrasion,0.35,1.2788,3
96,abrasions,1.1,1.7559,3
97,abrasive,0.45,1.3802,3
98,abrasives,0.08,0.699,3
99,abreast,0.51,1.4314,2
100,abridge,0.02,0.301,2
101,abridged,0.18,1.0,2
102,abridgement,0.02,0.301,3
103,abridging,0.04,0.4771,3
104,abroad,4.9,2.3997,2
105,abrogate,0.02,0.301,3
106,abrogated,0.04,0.4771,4
107,abrogating,0.02,0.301,4
108,abrupt,1.14,1.7709,2
109,abruptly,0.88,1.6628,3
110,abruptness,0.08,0.699,3
111,abs,1.06,1.7404,3
112,abscess,0.49,1.415,2
113,abscond,0.1,0.7782,2
114,absconded,0.1,0.7782,3
115,absconding,0.06,0.6021,3
116,absence,6.31,2.5092,2
117,absences,0.27,1.1761,3
118,absent,2.57,2.1206,2
119,absentee,0.35,1.2788,3
120,absenteeism,0.1,0.7782,5
121,absentees,0.08,0.699,3
122,absentia,0.18,1.0,3
123,absinthe,0.55,1.4624,2
124,absolute,11.31,2.7619,3
125,absolutely,113.12,3.7612,4
126,absolutes,0.41,1.3424,3
127,absolution,0.94,1.6902,4
128,absolve,0.57,1.4771,2
129,absolved,0.29,1.2041,2
130,absolves,0.08,0.699,2
131,absolving,0.1,0.7782,3
132,absorb,1.98,2.0086,2
133,absorbed,1.53,1.8976,2
134,absorbent,0.16,0.9542,3
135,absorber,0.06,0.6021,3
136,absorbers,0.16,0.9542,3
137,absorbing,0.45,1.3802,3
138,absorbs,0.49,1.415,2
139,absorption,0.35,1.2788,3
140,abstain,0.51,1.4314,2
141,abstained,0.08,0.699,2
142,abstaining,0.16,0.9542,3
143,abstention,0.12,0.8451,3
144,abstentions,0.02,0.301,3
145,abstinence,0.88,1.6628,3
146,abstinent,0.06,0.6021,3
147,abstract,2.18,2.0492,2
148,abstracted,0.06,0.6021,3
149,abstraction,0.29,1.2041,3
150,abstractions,0.1,0.7782,3
151,abstracts,0.14,0.9031,2
152,abstruse,0.06,0.6021,2
153,absurd,9.71,2.6955,2
154,absurdist,0.02,0.301,3
155,absurdities,0.12,0.8451,4
156,absurdity,0.63,1.5185,4
157,absurdly,0.29,1.2041,3
158,abt,0.22,1.0792,1
159,abundance,0.88,1.6628,3
160,abundant,0.57,1.4771,3
161,abundantly,0.41,1.3424,4
162,abuse,10.25,2.7193,2
163,abused,4.53,2.3655,2
164,abuser,0.31,1.2304,3
165,abusers,0.22,1.0792,3
166,abuses,0.49,1.415,3
167,abusing,1.2,1.7924,3
168,abusive,1.63,1.9243,3
169,abut,0.12,0.8451,2
170,abuts,0.04,0.4771,2
171,abutting,0.02,0.301,3
172,abuzz,0.04,0.4771,2
173,abysmal,0.41,1.3424,3
174,abysmally,0.02,0.301,4
175,abyss,1.76,1.959,2
176,acacia,0.16,0.9542,3
177,academe,0.04,0.4771,3
178,academia,0.24,1.1139,5
179,academic,4.67,2.3784,4
180,academically,0.22,1.0792,5
181,academician,0.02,0.301,5
182,academics,0.69,1.5563,4
183,academies,0.14,0.9031,4
184,accede,0.14,0.9031,2
185,acceded,0.02,0.301,3
186,accelerant,0.55,1.4624,4
187,accelerate,1.27,1.8195,4
188,accelerated,0.96,1.699,5
189,accelerates,0.1,0.7782,4
190,accelerating,0.88,1.6628,5
191,acceleration,0.86,1.6532,5
192,accelerator,1.35,1.8451,5
193,accelerators,0.08,0.699,5
194,accent,12.18,2.7938,2
195,accented,0.02,0.301,3
196,accents,1.14,1.7709,2
197,accentuate,0.35,1.2788,4
198,accentuated,0.04,0.4771,5
199,accentuates,0.08,0.699,4
200,accentuating,0.02,0.301,5
201,accept,52.78,3.4302,2
202,acceptable,5.27,2.4314,4
203,acceptance,3.16,2.2095,3
204,acceptances,0.04,0.4771,4
205,accepted,15.71,2.9042,3
206,accepting,4.04,2.316,3
207,accepts,2.08,2.0294,2
208,access,31.67,3.2084,2
209,accessed,1.53,1.8976,2
210,accessibility,0.04,0.4771,6
211,accessible,1.1,1.7559,4
212,accessing,1.04,1.7324,3
213,accession,0.12,0.8451,3
214,accessories,1.49,1.8865,4
215,accessorize,0.35,1.2788,4
216,accessorized,0.04,0.4771,4
217,accessory,2.88,2.1703,4
218,accident,81.29,3.6177,3
219,accidental,3.0,2.1875,4
220,accidentally,8.8,2.6532,5
221,accidently,0.22,1.0792,4
222,accidents,6.67,2.5328,3
223,acclaim,0.43,1.3617,2
224,acclaimed,0.39,1.3222,2
225,acclaims,0.04,0.4771,2
226,acclamation,0.02,0.301,4
227,acclimate,0.16,0.9542,3
228,acclimated,0.2,1.0414,4
229,accolade,0.02,0.301,3
230,accolades,0.18,1.0,3
231,accommodate,2.14,2.0414,4
232,accommodated,0.1,0.7782,5
233,accommodates,0.06,0.6021,4
234,accommodating,0.71,1.5682,5
235,accommodation,0.94,1.6902,5
236,accommodations,1.67,1.9345,5
237,accommodative,0.02,0.301,5
238,accompanied,2.06,2.0253,4
239,accompanies,0.25,1.1461,4
240,accompaniment,0.29,1.2041,4
241,accompanist,0.2,1.0414,4
242,accompany,4.75,2.3856,4
243,accompanying,0.92,1.6812,5
244,accompli,0.16,0.9542,3
245,accomplice,4.24,2.3365,3
246,accomplices,1.14,1.7709,4
247,accomplish,5.84,2.4757,3
248,accomplished,7.53,2.5855,3
249,accomplishes,0.14,0.9031,4
250,accomplishing,0.51,1.4314,4
251,accomplishment,1.88,1.9868,4
252,accomplishments,1.59,1.9138,4
253,accord,1.63,1.9243,2
254,accordance,1.59,1.9138,3
255,accorded,0.14,0.9031,3
256,accordingly,1.82,1.9731,4
257,accordion,1.31,1.8325,4
258,accordions,0.06,0.6021,4
259,accords,0.18,1.0,2
260,accost,0.06,0.6021,2
261,accosted,0.67,1.5441,3
262,accosting,0.08,0.699,3
263,account,44.71,3.3581,2
264,accountability,0.47,1.3979,6
265,accountable,1.41,1.8633,4
266,accountancy,0.06,0.6021,4
267,accountant,6.18,2.4997,3
268,accountants,1.08,1.7482,3
269,accounted,3.02,2.1903,3
270,accounting,4.51,2.3636,3
