,Word1,Word2,Word1_Syll,Word2_Syll,Word1_Freq,Word2_Freq
1,precipitous,steep,4,1,,
2,mystical,mysterious,3,4,,
4,stout,fat,1,1,,
7,insulting,abusive,3,3,,
8,heavy,deep,2,1,,
11,intact,sound,2,1,,
12,preposterous,ridiculous,4,4,,
14,pretty,mean,2,1,,
16,primitive,ancient,3,2,,
17,colloquial,informal,4,3,,
18,strong,influential,1,4,,
20,famous,celebrated,2,4,,
21,streamlined,aerodynamic,2,5,,
23,wild,irregular,1,4,,
24,integrated,structured,4,2,,
29,familiar,fresh,3,1,,
32,female,feminine,2,3,,
41,steep,hilly,1,2,,
42,naturalistic,realistic,5,4,,
44,splendid,great,2,1,,
45,spirited,fiery,3,3,,
47,literal,actual,3,3,,
48,bare,unadorned,1,3,,
50,frank,sincere,1,2,,
51,low,coarse,1,1,,
55,collective,corporate,3,3,,
60,sad,hard,1,1,,
62,noble,sublime,2,2,,
65,fit,prepared,1,2,,
69,other,additional,2,4,,
70,wooded,overgrown,2,3,,
71,lone,single,1,2,,
76,hilarious,funny,4,2,,
79,waterlogged,swampy,3,2,,
80,entire,undivided,3,4,,
84,unfair,unjustified,2,4,,
86,stationary,immovable,4,4,,
87,wide,broad,1,1,,
89,lusty,strong,2,1,,
90,loyal,firm,2,1,,
92,fit,suitable,1,3,,
94,lasting,stable,2,2,,
95,incompatible,inappropriate,5,5,,
96,stale,moldy,1,2,,
97,covert,secret,2,2,,
98,notable,evident,3,3,,
99,dim,mysterious,1,4,,
103,despicable,mean,4,1,,
108,devoted,constant,3,2,,
109,conditional,subject,4,2,,
110,underground,hidden,3,2,,
111,brittle,fragile,2,2,,
112,unable,ineffectual,3,5,,
115,silly,stupid,2,2,,
116,flat,boring,1,2,,
120,impolite,rude,3,1,,
121,obsolete,old,3,1,,
122,primitive,original,3,4,,
123,obsolete,ancient,3,2,,
124,comprehensive,thorough,4,2,,
127,adequate,competent,3,3,,
133,brown,foxy,1,2,,
135,tame,domestic,1,3,,
136,rough,crude,1,1,,
139,classical,canonical,3,4,,
145,optimistic,hopeful,4,2,,
147,joyous,happy,2,2,,
148,abrupt,steep,2,1,,
149,eastern,east,2,1,,
150,deserving,worthy,3,2,,
152,overbearing,bossy,4,2,,
157,unsure,shy,2,1,,
162,meritorious,deserving,5,3,,
164,minor,underage,2,3,,
165,infinite,countless,3,2,,
167,average,normal,3,2,,
168,thoughtful,considerate,2,4,,
169,tyrannical,dictatorial,4,5,,
170,fair,upright,1,2,,
171,accountable,answerable,4,4,,
173,opulent,rich,3,1,,
177,due,exact,1,2,,
178,hot,fit,1,1,,
180,rugged,rough,2,1,,
181,useless,helpless,2,2,,
183,angry,wild,2,1,,
184,swift,rapid,1,2,,
185,prevalent,powerful,3,3,,
186,irregular,eccentric,4,3,,
193,succinct,short,2,1,,
194,profound,fundamental,2,4,,
199,morbid,gruesome,2,2,,
200,permissible,allowable,4,4,,
203,efficacious,effective,4,3,,
204,sober,quiet,2,2,,
207,stupid,inept,2,2,,
209,customary,ordinary,4,4,,
210,slow,tiresome,1,3,,
211,childlike,naive,2,2,,
213,valid,strong,2,1,,
216,big,grown,1,1,,
218,scholastic,formal,3,2,,
219,viscous,thick,2,1,,
223,remaining,last,3,1,,
225,perennial,permanent,4,3,,
227,subtle,skillful,2,2,,
228,silent,quiet,2,2,,
230,sparse,scattered,1,2,,
231,vivid,quick,2,1,,
232,boisterous,loud,3,1,,
235,false,treacherous,1,3,,
236,acrobatic,athletic,4,3,,
237,dim,slow,1,1,,
239,unfinished,raw,3,1,,
242,impertinent,rude,4,1,,
246,moderate,low,3,1,,
247,sorry,unhappy,2,3,,
248,white,happy,1,2,,
250,old,antique,1,2,,
252,polar,frigid,2,2,,
260,optimal,optimum,3,3,,
264,absurd,silly,2,2,,
265,boundless,unlimited,2,4,,
266,red,sanguine,1,2,,
269,single,unmarried,2,3,,
270,vigorous,energetic,3,4,,
271,equitable,fair,4,1,,
273,indifferent,unconcerned,3,3,,
279,new,raw,1,1,,
280,opposite,other,3,2,,
281,farthest,last,2,1,,
282,deadly,venomous,2,3,,
283,particular,limited,4,3,,
285,ugly,deformed,2,2,,
286,competent,qualified,3,3,,
288,plain,evident,1,3,,
289,full,copious,1,3,,
290,new,recent,1,2,,
291,straight,neat,1,1,,
292,slapdash,sloppy,2,2,,
294,boring,slow,2,1,,
295,outspoken,loud,3,1,,
296,renowned,celebrated,2,4,,
297,routine,round,2,1,,
299,mere,entire,1,3,,
301,different,distinct,3,2,,
303,incompetent,inefficient,4,4,,
304,accidental,casual,4,3,,
305,,void,1,1,,
306,novel,fresh,2,1,,
309,dense,thick,1,1,,
310,mysterious,incomprehensible,4,6,,
311,dark,hopeless,1,2,,
316,short,scanty,1,2,,
319,busy,engaged,2,2,,
320,ardent,passionate,2,3,,
321,sinful,corrupt,2,2,,
329,vital,essential,2,3,,
331,provincial,narrow,3,2,,
334,hungry,poor,2,1,,
335,civil,courteous,2,3,,
337,clever,smart,2,1,,
338,aristocratic,blue,5,1,,
341,condescending,patronizing,4,4,,
346,senior,elder,2,2,,
347,robust,rich,2,1,,
349,comical,amusing,3,3,,
351,sentimental,romantic,4,3,,
354,reddish,crimson,2,2,,
356,lively,spirited,2,3,,
358,valid,sufficient,2,3,,
359,stupid,senseless,2,2,,
360,heinous,atrocious,2,3,,
362,restrained,quiet,2,2,,
367,grating,harsh,2,1,,
368,far,remote,1,2,,
369,monetary,financial,4,3,,
372,rude,uncivil,1,3,,
373,equal,corresponding,2,4,,
374,frivolous,light,3,1,,
375,fibrous,stringy,2,2,,
378,coarse,blunt,1,1,,
381,beautiful,wonderful,3,3,,
382,high,strong,1,1,,
383,placid,gentle,2,2,,
385,improper,unlawful,3,3,,
386,bright,sparkling,1,2,,
387,ultra,extreme,2,2,,
395,mild,gentle,1,2,,
397,convinced,positive,2,3,,
398,brief,concise,1,2,,
401,grave,deep,1,1,,
405,certain,stated,2,2,,
406,uninteresting,dry,4,1,,
407,dull,dense,1,1,,
408,untested,young,3,1,,
415,inner,intimate,2,3,,
416,costly,sumptuous,2,2,,
417,intermediate,medial,5,3,,
423,marshy,waterlogged,2,3,,
424,garish,bright,2,1,,
426,slender,slight,2,1,,
427,insecure,suspicious,3,3,,
430,close,short,1,1,,
431,fair,beautiful,1,3,,
432,cautious,circumspect,2,3,,
435,rude,harsh,1,1,,
440,unpleasant,distasteful,3,3,,
441,wealthy,rich,2,1,,
442,evil,ill,2,1,,
444,great,commanding,1,3,,
445,awake,alert,2,2,,
447,unwieldy,heavy,3,2,,
448,moral,righteous,2,2,,
452,parochial,insular,4,3,,
455,splendid,brilliant,2,2,,
458,poor,miserable,1,4,,
459,orthodox,conventional,3,4,,
461,frigid,icy,2,2,,
462,acceptable,comfortable,4,4,,
463,immense,large,2,1,,
464,brawny,strong,2,1,,
466,routine,everyday,2,3,,
467,black,african,1,3,,
468,steep,high,1,1,,
470,solemn,earnest,2,2,,
471,circular,round,3,1,,
472,smart,brilliant,1,2,,
