,Word1,Word2,Word1_Syll,Word2_Syll,Word1_Length,Word2_Length,Freq_Per_Mil1,Log_Freq_Per_Mil1,Freq_Per_Mil2,Log_Freq_Per_Mil2,Syll_Delta,Freq_Delta,Length_Delta
0,precipitous,steep,4,1,11,5,0.12,0.8451,2.45,2.1004,3,-1.2553,6
1,abrupt,steep,2,1,6,5,1.14,1.7709,2.45,2.1004,1,-0.3295000000000001,1
2,mystical,mysterious,3,4,8,10,2.82,2.1614,15.0,2.8842,-1,-0.7227999999999999,-2
3,dim,mysterious,1,4,3,10,4.76,2.3874,15.0,2.8842,-3,-0.4967999999999999,-7
4,secret,mysterious,2,4,6,10,109.51,3.7471,15.0,2.8842,-2,0.8629000000000002,-4
5,enigmatic,mysterious,4,4,9,10,0.22,1.0792,15.0,2.8842,0,-1.805,-1
6,stout,fat,1,1,5,3,1.04,1.7324,79.43,3.6077,0,-1.8753,2
7,fleshy,fat,2,1,6,3,0.57,1.4771,79.43,3.6077,1,-2.1306,3
8,juicy,fat,2,1,5,3,4.29,2.3424,79.43,3.6077,1,-1.2652999999999999,2
9,grease,fat,1,1,6,3,6.94,2.5502,79.43,3.6077,0,-1.0575,3
10,stout,bulky,1,2,5,5,1.04,1.7324,0.51,1.4314,-1,0.30099999999999993,0
11,big,bulky,1,2,3,5,682.82,4.5419,0.51,1.4314,-1,3.1105,-2
12,insulting,abusive,3,3,9,7,5.37,2.4393,1.63,1.9243,0,0.5149999999999999,2
13,foul,abusive,1,3,4,7,14.47,2.8686,1.63,1.9243,-2,0.9442999999999999,-3
14,scurrilous,abusive,3,3,10,7,0.18,1.0,1.63,1.9243,0,-0.9242999999999999,3
15,heavy,deep,2,1,5,4,47.29,3.3826,76.39,3.5907,1,-0.20809999999999995,1
16,grave,deep,1,1,5,4,26.27,3.1274,76.39,3.5907,0,-0.4632999999999998,1
17,thick,deep,1,1,5,4,13.98,2.8537,76.39,3.5907,0,-0.7370000000000001,1
18,rich,deep,1,1,4,4,80.39,3.6129,76.39,3.5907,0,0.022199999999999775,0
19,intense,deep,2,1,7,4,10.2,2.7168,76.39,3.5907,1,-0.8738999999999999,3
20,trench,deep,1,1,6,4,3.08,2.1987,76.39,3.5907,0,-1.392,2
21,heavy,fleshy,2,2,5,6,47.29,3.3826,0.57,1.4771,0,1.9055,-1
