,Word1,Word2,Word1_Syll,Word2_Syll,Freq_Per_Mil1,Log_Freq_Per_Mil1,Freq_Per_Mil2,Log_Freq_Per_Mil2,Syll_Delta,Freq_Delta
0,precipitous,steep,4,1,0.12,0.8451,2.45,2.1004,3,-1.2553
1,abrupt,steep,2,1,1.14,1.7709,2.45,2.1004,1,-0.3295000000000001
2,mystical,mysterious,3,4,2.82,2.1614,15.0,2.8842,1,0.7227999999999999
3,dim,mysterious,1,4,4.76,2.3874,15.0,2.8842,3,0.4967999999999999
4,secret,mysterious,2,4,109.51,3.7471,15.0,2.8842,2,-0.8629000000000002
5,enigmatic,mysterious,4,4,0.22,1.0792,15.0,2.8842,0,1.805
6,stout,fat,1,1,1.04,1.7324,79.43,3.6077,0,1.8753
7,fleshy,fat,2,1,0.57,1.4771,79.43,3.6077,1,-2.1306
8,juicy,fat,2,1,4.29,2.3424,79.43,3.6077,1,-1.2652999999999999
9,grease,fat,1,1,6.94,2.5502,79.43,3.6077,0,1.0575
10,stout,bulky,1,2,1.04,1.7324,0.51,1.4314,1,-0.30099999999999993
11,big,bulky,1,2,682.82,4.5419,0.51,1.4314,1,-3.1105
12,insulting,abusive,3,3,5.37,2.4393,1.63,1.9243,0,-0.5149999999999999
13,foul,abusive,1,3,14.47,2.8686,1.63,1.9243,2,-0.9442999999999999
14,scurrilous,abusive,3,3,0.18,1.0,1.63,1.9243,0,0.9242999999999999
15,heavy,deep,2,1,47.29,3.3826,76.39,3.5907,1,-0.20809999999999995
16,grave,deep,1,1,26.27,3.1274,76.39,3.5907,0,0.4632999999999998
17,thick,deep,1,1,13.98,2.8537,76.39,3.5907,0,0.7370000000000001
18,rich,deep,1,1,80.39,3.6129,76.39,3.5907,0,-0.022199999999999775
19,intense,deep,2,1,10.2,2.7168,76.39,3.5907,1,-0.8738999999999999
20,trench,deep,1,1,3.08,2.1987,76.39,3.5907,0,1.392
21,heavy,fleshy,2,2,47.29,3.3826,0.57,1.4771,0,-1.9055
22,heavy,weighty,2,2,47.29,3.3826,0.24,1.1139,0,-2.2687
23,serious,weighty,3,2,148.35,3.8789,0.24,1.1139,1,2.7649999999999997
24,heavy,violent,2,3,47.29,3.3826,16.67,2.9299,1,-0.4527000000000001
25,strong,violent,1,3,86.86,3.6465,16.67,2.9299,2,-0.7166000000000001
26,furious,violent,3,3,6.0,2.4871,16.67,2.9299,0,0.4428000000000001
27,severe,violent,2,3,9.41,2.6821,16.67,2.9299,1,0.2477999999999998
28,heavy,sound,2,1,47.29,3.3826,143.39,3.8642,1,-0.4815999999999998
29,intact,sound,2,1,6.35,2.5119,143.39,3.8642,1,-1.3523
30,strong,sound,1,1,86.86,3.6465,143.39,3.8642,0,0.21769999999999978
31,robust,sound,2,1,0.71,1.5682,143.39,3.8642,1,-2.296
32,fresh,sound,1,1,54.51,3.4442,143.39,3.8642,0,0.41999999999999993
33,fast,sound,1,1,137.45,3.8458,143.39,3.8642,0,0.01839999999999975
34,whole,sound,1,1,385.49,4.2936,143.39,3.8642,0,-0.4293999999999998
35,logical,sound,3,1,7.39,2.5775,143.39,3.8642,2,-1.2866999999999997
36,wholesome,sound,2,1,1.59,1.9138,143.39,3.8642,1,-1.9504
37,report,sound,2,1,108.0,3.7411,143.39,3.8642,1,-0.12309999999999999
38,heavy,leaden,2,2,47.29,3.3826,0.1,0.7782,0,-2.6044
39,heavy,hard,2,1,47.29,3.3826,307.84,4.1959,1,-0.8132999999999999
40,sad,hard,1,1,63.37,3.5096,307.84,4.1959,0,0.6863000000000001
41,concentrated,hard,4,1,1.94,2.0,307.84,4.1959,3,-2.1959
42,horny,hard,2,1,8.39,2.6325,307.84,4.1959,1,-1.5634000000000001
43,heavy,oppressive,2,3,47.29,3.3826,0.92,1.6812,1,-1.7014
